STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,TPCP
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050401,211,756
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050501,310,1049
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050601,770,993
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050701,130,285
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050801,51,141
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20050901,180,358
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20051001,89,311
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20051101,429,1612
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20051201,119,199
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060101,5,5
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060201,8,8
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060301,361,696
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060401,1250,2218
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060501,330,841
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060601,150,323
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060701,99,433
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060801,201,535
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20060901,660,1242
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20061001,1110,2863
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20061101,630,2311
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20061201,429,890
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070101,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070201,0,0
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070301,221,236
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070401,231,912
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070501,729,4595
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070601,500,1355
GHCND:KE000063820,MOMBASA KE,55,-4.033,39.617,20070701,211,433
